access: count=2, fails=2
arch_prctl: count=1, fails=0
brk: count=39, fails=0
clone: count=111, fails=0
close: count=91323, fails=0
fchdir: count=1, fails=0
fcntl: count=113804, fails=0
fstat: count=23076, fails=0
fstatfs: count=1, fails=0
futex: count=1, fails=0
getdents64: count=45595, fails=0
getrandom: count=1, fails=0
ioctl: count=1, fails=0
mmap: count=20, fails=0
mprotect: count=5, fails=0
munmap: count=1, fails=0
newfstatat: count=45550, fails=0
openat: count=23072, fails=0
pread64: count=2, fails=0
prlimit64: count=2, fails=0
read: count=5, fails=0
rseq: count=1, fails=0
rt_sigaction: count=1, fails=0
set_robust_list: count=1, fails=0
set_tid_address: count=1, fails=0
statfs: count=2, fails=2
uname: count=1, fails=0
